

      Longitude          Obliquity        Amplitude
     In       Out       In       Out      (mas)
    (mas)    (mas)     (mas)    (mas)
   0.0003   0.0000    0.0000  -0.0001     0.0002
  -0.0008   0.0000    0.0000   0.0004     0.0005
   0.0009  -0.0011   -0.0005  -0.0004     0.0009
   0.0018  -0.0003    0.0000   0.0000     0.0007
   0.0000  -0.0004   -0.0002   0.0000     0.0003
   0.0003   0.0000    0.0000  -0.0001     0.0002
   0.0005   0.0000    0.0000   0.0000     0.0002
   0.0000  -0.0010   -0.0005   0.0000     0.0006
  -0.0339   0.0000    0.0000   0.0147     0.0200
   0.0005  -0.0023   -0.0012  -0.0003     0.0016
  -0.0004   0.0000    0.0000   0.0000     0.0002
   0.0003   0.0000    0.0000  -0.0001     0.0002
   0.0003   0.0000    0.0001  -0.0001     0.0002
   0.0011  -0.0003   -0.0001  -0.0005     0.0007
   0.0000  -0.0010   -0.0005   0.0000     0.0006
   0.0083   0.0000    0.0000   0.0000     0.0033
   0.0006   0.0024    0.0013  -0.0003     0.0017
   0.0019   0.0000    0.0000  -0.0008     0.0011
   0.0026  -0.0014   -0.0006  -0.0011     0.0017
  -0.0003   0.0012    0.0006   0.0002     0.0008
   0.0074   0.0000    0.0000  -0.0032     0.0044
   0.0003  -0.0004   -0.0002  -0.0001     0.0003
  -0.0003   0.0000    0.0000   0.0002     0.0002
   0.0007  -0.0012   -0.0005  -0.0003     0.0008
   0.0000  -0.0007   -0.0003   0.0000     0.0004
   0.0005  -0.0173   -0.0075  -0.0002     0.0102
   0.0006   0.0019    0.0000   0.0000     0.0008
   0.0000  -0.0004   -0.0002   0.0000     0.0003
   0.0000  -0.0007   -0.0003   0.0000     0.0004
   0.0003   0.0000    0.0000  -0.0001     0.0002
   0.0003   0.0010    0.0004  -0.0001     0.0006
   0.0000   0.0008    0.0000   0.0000     0.0003
   0.0003   0.0000    0.0000  -0.0002     0.0002
   0.0000  -0.0003   -0.0001   0.0000     0.0002
  -0.0021  -0.0032   -0.0014   0.0009     0.0023
  -0.0063  -0.0016   -0.0007   0.0028     0.0039
   0.0163  -0.0012   -0.0005  -0.0072     0.0097
  -0.0085  -0.0070   -0.0031   0.0037     0.0065
   0.0000   0.0004    0.0002   0.0000     0.0003
   0.0000   0.0003    0.0000   0.0000     0.0001
   0.0000   0.0004    0.0002   0.0000     0.0003
  -0.0003   0.0000    0.0000   0.0001     0.0002
   0.0000  -0.0019   -0.0008   0.0000     0.0011
  -0.0011   0.0005    0.0002   0.0005     0.0007
  -0.0062  -0.0097   -0.0042   0.0027     0.0068
